datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
1/1/21,2.4,-2.4,0.5,2.3,-6.8,-1.9,-5.4,65,0.897,100,4.17,"rain,snow",0,0,,16.9,348.2,1030.2,50.7,15.7,56.3,4.8,3,,2021-01-01T07:13:45,2021-01-01T16:22:48,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/2/21,6,0.1,3.9,3.8,-5.1,-0.4,1.6,85.7,12.092,100,50,"rain,snow",0,0,57.6,35.6,352,1011.1,81.8,11.4,26.1,2.4,1,,2021-01-02T07:13:48,2021-01-02T16:23:41,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/3/21,1.7,-1.4,0.1,-1.7,-5.7,-3.8,-3,79.7,0.794,100,25,"rain,snow",0.6,0.2,,22.2,359.4,1020,89.4,14.4,17.2,1.5,1,,2021-01-03T07:13:49,2021-01-03T16:24:36,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/4/21,4,-0.6,1,-0.3,-5.7,-3.5,-2.3,78.9,0,0,0,,0.4,0.7,,22.8,2,1014.7,88.9,15.9,48.9,4.3,3,,2021-01-04T07:13:47,2021-01-04T16:25:33,0.65,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/5/21,0.8,-1,-0.3,-3.9,-6.1,-4.8,-2.7,83.1,0.267,100,8.33,"rain,snow",0,0.1,,19.3,345.3,1013.1,100,12.4,28.3,2.6,1,,2021-01-05T07:13:43,2021-01-05T16:26:31,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/6/21,3.6,-0.6,0.8,-0.9,-6,-4.1,-4.8,67,0,0,0,,0,0,43.3,26.4,318.6,1012,76.8,15.9,54.7,4.7,3,,2021-01-06T07:13:37,2021-01-06T16:27:31,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/7/21,5.1,-1.2,1.3,1.2,-7.1,-3.7,-8,50.6,0,0,0,,0,0,40.7,26.3,312.4,1015.2,55.4,16,79.2,6.8,4,,2021-01-07T07:13:28,2021-01-07T16:28:32,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/8/21,5.3,-3.8,-0.3,2.7,-8.8,-4.9,-9.7,51.4,0,0,0,,0,0,33.5,20.5,316.5,1013.1,11.6,16,76.5,6.6,4,,2021-01-08T07:13:17,2021-01-08T16:29:34,0.87,Clear,Clear conditions throughout the day.,clear-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/9/21,2.1,-4.6,-1.2,-0.6,-10.5,-6.2,-9.6,52.8,0,0,0,,0,0,31.7,23.7,338.6,1010.9,55.2,16,69.1,5.9,3,,2021-01-09T07:13:03,2021-01-09T16:30:38,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/10/21,5.2,-2.9,0.4,2.2,-9,-3.6,-8.6,51.4,0,0,0,,0,0,37.1,24,317.9,1020,43.4,16,77,6.7,4,,2021-01-10T07:12:47,2021-01-10T16:31:43,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/11/21,1.8,-4.3,-0.8,-0.3,-7.5,-3.2,-8.1,58.5,0,0,0,,0,0,,15.3,256.2,1023.9,80.1,16,30.5,2.7,1,,2021-01-11T07:12:29,2021-01-11T16:32:49,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/12/21,5.5,-3.1,0.6,2.3,-7.2,-2.2,-6.4,60.5,0,0,0,,0,0,,17.7,286.4,1018.5,69,16,69.8,5.9,4,,2021-01-12T07:12:09,2021-01-12T16:33:57,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/13/21,4.5,-1.3,1.8,3.2,-4.6,-1.1,-5,61,0,0,0,,0,0,,17,222.5,1015.6,74.1,16,69.2,6,4,,2021-01-13T07:11:46,2021-01-13T16:35:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/14/21,3.4,-0.4,1.7,3.4,-3.1,-0.4,-1.2,82.4,2.729,100,45.83,"rain,snow",0,0,,12.6,252,1011.6,96.5,9.4,29.1,2.6,1,,2021-01-14T07:11:21,2021-01-14T16:36:15,0.01,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1/15/21,4.7,0.7,2.7,1.6,-2.1,-0.3,-0.2,82.1,0,0,0,,0,0,,19.2,51.4,1017.3,82.6,12.4,66.4,5.7,3,,2021-01-15T07:10:53,2021-01-15T16:37:25,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
