Year,Population,GDP,CPI,SP500,MinimumWage,Households,MedianHouse,IncomePct20,IncomePct40,IncomePct60,IncomePct80,IncomePct95,PresidentParty
1929,,,17.20,21.45,,,,,,,,,Republican
1930,,,16.70,15.34,,,,,,,,,Republican
1931,,,15.20,8.12,,,,,,,,,Republican
1932,,,13.60,6.89,,,,,,,,,Republican
1933,,,12.90,10.10,,,,,,,,,Democrat
1934,,,13.40,9.50,,,,,,,,,Democrat
1935,,,13.70,13.43,,,,,,,,,Democrat
1936,,,13.90,17.18,,,,,,,,,Democrat
1937,,,14.40,10.55,,,,,,,,,Democrat
1938,,,14.10,13.21,,,,,,,,,Democrat
1939,,,13.90,12.49,,,,,,,,,Democrat
1940,,,14.00,10.58,,,,,,,,,Democrat
1941,,,14.70,8.69,,,,,,,,,Democrat
1942,,,16.30,9.77,,,,,,,,,Democrat
1943,,,17.30,11.67,,,,,,,,,Democrat
1944,,,17.60,13.28,,,,,,,,,Democrat
1945,,,18.00,17.36,,,,,,,,,Democrat
1946,,,19.50,15.30,,,,,,,,,Democrat
1947,,,22.30,15.30,,,,,,,,,Democrat
1948,,,24.00,15.20,,,,,,,,,Democrat
1949,,,23.80,16.76,,,,,,,,,Democrat
1950,148281550,,24.10,20.41,,,,,,,,,Democrat
1951,150598453,,26.00,23.77,,,,,,,,,Democrat
1952,152941727,,26.60,26.57,,,,,,,,,Democrat
1953,155451199,,26.80,24.81,,,,,,,,,Republican
1954,158205873,,26.90,35.98,,,,,,,,,Republican
1955,161136449,,26.80,45.48,,,,,,,,,Republican
1956,164063411,,27.20,46.67,,,,,,,,,Republican
1957,166949120,,28.10,39.99,,,,,,,,,Republican
1958,170147101,,28.90,55.21,,,,,,,,,Republican
1959,173324608,,29.20,59.89,,,,,,,,,Republican
1960,176188578,541.99,29.60,58.11,,,,,,,,,Republican
1961,179087278,561.94,29.90,71.55,,,,,,,,,Democrat
1962,181917809,603.64,30.30,63.10,,,,,,,,,Democrat
1963,184649873,637.06,30.60,75.02,,,17800,,,,,,Democrat
1964,187277378,684.14,31.00,84.75,,,18500,,,,,,Democrat
1965,189703283,741.90,31.50,92.43,,,20200,,,,,,Democrat
1966,191830975,813.03,32.50,80.33,,,21000,,,,,,Democrat
1967,193782438,859.62,33.40,96.47,,60813.00,22300,3000.00,5850.00,8303.00,11840.00,19000.00,Democrat
